,prompt,classes,answer_index
178,"Question: Did the price of gold exceed 3171 USD/ounce in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
179,"Question: Did the price of gold exceed 154 USD/ounce in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
180,"Question: Did the price of brent oil exceed 205 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
181,"Question: Did the price of brent oil exceed 15 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
182,"Question: Did the price of brent oil exceed 186 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
183,"Question: Did the price of brent oil exceed 15 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
184,"Question: Did the price of brent oil exceed 186 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
185,"Question: Did the price of brent oil exceed 15 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
186,"Question: Did the price of brent oil exceed 184 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
187,"Question: Did the price of brent oil exceed 14 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
188,"Question: Did the price of brent oil exceed 182 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
189,"Question: Did the price of brent oil exceed 14 USD per barrel in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
190,"Question: Did the price of lithium carbonate exceed 33 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
191,"Question: Did the price of lithium carbonate exceed 3 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
192,"Question: Did the price of lithium carbonate exceed 27 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
193,"Question: Did the price of lithium carbonate exceed 3 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
194,"Question: Did the price of lithium carbonate exceed 32 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
195,"Question: Did the price of lithium carbonate exceed 3 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
196,"Question: Did the price of lithium carbonate exceed 27 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
197,"Question: Did the price of lithium carbonate exceed 3 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
198,"Question: Did the price of lithium carbonate exceed 28 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
199,"Question: Did the price of lithium carbonate exceed 3 USD per kg in 2037?
1:  Yes
2:  No
3:  Unknown
Answer:","[' Yes', ' No', ' Unknown']",2
